avg_commission_rate;block_time;epoch;stake_account_count;staker_rewards_sol;total_inflationary_sol;validator_count;voting_rewards_sol
;2021-02-10 15:46:44.000 UTC;150;9738;191834.825036987;213841.884404334;446;22007.059367347
;2021-02-13 15:46:44.000 UTC;151;4932;191432.346972708;213744.87446710502;467;22312.527494397
;2021-02-16 15:46:44.000 UTC;152;5571;191890.472569632;213647.84307240898;480;21757.370502777
;2021-02-19 15:46:44.000 UTC;153;6026;192287.8976878;213550.720650562;482;21262.822962762
;2021-02-23 11:38:19.000 UTC;154;6402;193376.775402722;213453.519678807;488;20076.744276085
;2021-02-27 02:02:19.000 UTC;155;7068;193454.196737825;213356.314321879;493;19902.117584054
;2021-03-02 16:26:19.000 UTC;156;7548;193772.118821483;213259.08736163;496;19486.968540147
;2021-03-06 04:03:38.000 UTC;157;7846;193563.89536352;213161.869571803;503;19597.974208283
;2021-03-09 05:51:31.000 UTC;158;8050;193690.497919346;213064.614673009;507;19374.116753663
;2021-03-12 06:02:21.000 UTC;159;8269;193499.646286841;212967.33466944;508;19467.688382599
;2021-03-15 02:07:58.000 UTC;160;8460;193228.726081293;212870.037703446;510;19641.311622153
;2021-03-17 22:12:51.000 UTC;161;8637;193202.039640501;212772.706306513;511;19570.666666012
;2021-03-20 14:50:54.000 UTC;162;7184;160155.318972501;212675.346280049;534;52520.027307548
;2021-03-23 10:40:09.000 UTC;163;9009;159911.924270718;212577.946512999;534;52666.022242281
;2021-03-26 08:27:37.000 UTC;164;9043;158691.683548372;212480.499982628;532;53788.816434256
;2021-03-29 06:53:32.000 UTC;165;9172;158018.472157983;212383.021393654;537;54364.549235671
;2021-04-01 07:04:17.000 UTC;166;9370;158292.677107498;212285.508226;537;53992.831118502
;2021-04-04 09:04:04.000 UTC;167;9660;158231.18586959;212187.962326531;539;53956.776456941
;2021-04-07 07:31:01.000 UTC;168;9875;157818.541477319;212090.384137632;538;54271.842660313
;2021-04-10 05:53:59.000 UTC;169;10227;157965.425097011;211992.758149922;540;54027.333052911
;2021-04-13 03:32:12.000 UTC;170;11259;154045.586013962;211895.09806158498;542;57849.512047623
;2021-04-16 02:30:37.000 UTC;171;13313;152842.201911407;211797.401455055;545;58955.199543648
;2021-04-19 02:02:03.000 UTC;172;14931;153000.545208295;211699.66923104197;546;58699.124022747
;2021-04-22 01:45:15.000 UTC;173;16285;147718.13729792;211601.89297261302;556;63883.755674693
;2021-04-24 15:37:58.000 UTC;174;17989;139016.816429704;211504.03091787797;563;72487.214488174
;2021-04-27 05:24:49.000 UTC;175;19393;138943.94944794;211406.145083044;562;72462.195635104
;2021-04-29 19:13:42.000 UTC;176;21534;138078.389195945;211308.231091429;562;73229.841895484
;2021-05-02 10:10:42.000 UTC;177;24574;137852.504435441;211210.285661746;570;73357.781226305
;2021-05-05 04:19:15.000 UTC;178;27391;137702.2786521;211112.322378509;569;73410.043726409
;2021-05-07 23:34:58.000 UTC;179;29219;138028.826133978;211014.347379376;573;72985.521245398
;2021-05-10 18:19:17.000 UTC;180;30728;138302.286778239;210916.330797439;575;72614.0440192
;2021-05-13 13:24:18.000 UTC;181;32791;136617.276838796;210818.263469255;572;74200.986630459
;2021-05-16 08:29:06.000 UTC;182;34041;138520.639038458;210720.158005981;572;72199.518967523
;2021-05-19 04:42:06.000 UTC;183;36301;138320.432308633;210622.02343970299;575;72301.59113107
;2021-05-22 03:07:36.000 UTC;184;38818;138072.604906876;210523.852661739;573;72451.247754863
;2021-05-25 07:12:08.000 UTC;185;40770;139038.465989303;210425.64766348;571;71387.181674177
;2021-05-28 08:53:56.000 UTC;186;41961;139618.673299635;210327.461826843;570;70708.788527208
;2021-05-31 11:10:24.000 UTC;187;43867;138793.743546621;210229.23527919402;565;71435.491732573
;2021-06-03 10:59:38.000 UTC;188;45410;138071.26005673;210130.940040334;568;72059.679983604
;2021-06-06 11:42:04.000 UTC;189;47334;137738.609385237;210032.60322356402;564;72293.993838327
;2021-06-09 11:28:11.000 UTC;190;48938;138461.096769605;209934.25249198702;566;71473.155722382
;2021-06-12 11:37:15.000 UTC;191;51179;138293.606017539;209835.87453488298;571;71542.268517344
;2021-06-15 12:26:49.000 UTC;192;53625;138573.430578436;209737.471162409;574;71164.040583973
;2021-06-18 13:13:05.000 UTC;193;54856;138356.65264573;209639.029556992;587;71282.376911262
;2021-06-21 14:09:38.000 UTC;194;56423;138549.200944018;209540.552548278;591;70991.35160426
;2021-06-24 14:54:13.000 UTC;195;57543;138272.762623846;209442.044986072;612;71169.282362226
;2021-06-27 15:52:04.000 UTC;196;59472;137574.866478396;209343.500788113;616;71768.634309717
;2021-06-30 17:28:19.000 UTC;197;61611;137961.059502977;209244.927328414;627;71283.867825437
;2021-07-03 19:49:49.000 UTC;198;63456;137934.743434201;209146.328993719;631;71211.585559518
;2021-07-06 21:44:25.000 UTC;199;64994;137023.121768629;209047.691751172;646;72024.569982543
;2021-07-10 00:02:06.000 UTC;200;66306;136787.129476319;208949.02177463402;654;72161.892298315
;2021-07-13 03:47:41.000 UTC;201;69269;137787.659953409;208850.320114882;659;71062.660161473
;2021-07-16 07:13:14.000 UTC;202;90623;138429.789096887;208751.583575032;695;70321.794478145
0.08013901304458654;2021-07-19 11:34:22.000 UTC;203;110516;134259.538763871;208652.82350453;706;74393.284740659
;2021-07-22 15:43:18.000 UTC;204;109896;129682.377362002;208554.029737417;716;78871.652375415
0.0785854469568513;2021-07-25 20:16:24.000 UTC;205;129002;129970.693807905;208455.205986435;735;78484.51217853
0.07913519843593392;2021-07-28 17:46:29.000 UTC;206;149796;132170.982201007;208356.339700551;750;76185.357499544
0.0797843404305132;2021-07-31 10:30:41.000 UTC;207;150455;131360.156963753;208257.373256103;759;76897.21629235
0.07922725633046664;2021-08-03 03:15:19.000 UTC;208;119574;130371.607876033;208158.32924864;775;77786.721372607
0.07874401842115358;2021-08-05 19:14:31.000 UTC;209;154219;130215.551575051;208059.251614324;780;77843.700039273
0.07910829146911637;2021-08-08 12:20:12.000 UTC;210;162591;130007.935398455;207960.13975993998;787;77952.204361485
0.08000088115209386;2021-08-11 06:15:20.000 UTC;211;175252;131231.140997486;207860.99507400603;814;76629.85407652
0.07929241691211474;2021-08-14 03:15:27.000 UTC;212;145010;130629.093362924;207761.819221337;818;77132.725858413
0.07935264450747001;2021-08-17 00:48:36.000 UTC;213;179319;130775.035406065;207662.62302954;820;76887.587623475
0.07968324005592532;2021-08-20 00:28:17.000 UTC;214;183364;130021.646904071;207563.39541933202;842;77541.748515261
0.07947359347516011;2021-08-22 21:06:06.000 UTC;215;187847;130845.97654051;207464.10852763202;848;76618.131987122
0.07946640794049185;2021-08-25 17:23:24.000 UTC;216;146582;131484.31385932;207364.78746266;861;75880.47360334
0.07974738118049995;2021-08-28 13:05:33.000 UTC;217;196107;132103.943962591;207265.438801754;872;75161.494839163
0.07941125163704293;2021-08-31 06:15:53.000 UTC;218;200697;129073.802095398;207166.051150069;897;78092.249054671
0.07977479036278107;2021-09-02 20:40:26.000 UTC;219;162125;128999.039064516;207066.614654074;909;78067.575589558
0.07960273875249725;2021-09-05 09:12:26.000 UTC;220;165851;128291.366122963;206967.124898614;920;78675.758775651
0.07978186541407799;2021-09-07 23:25:00.000 UTC;221;170920;128092.927430083;206867.605342664;928;78774.677912581
0.0802175717189446;2021-09-10 14:46:32.000 UTC;222;174453;127373.905204223;206768.04354203;927;79394.138337807
0.08275738804604295;2021-09-13 06:04:15.000 UTC;223;187732;127306.657370949;206668.447583075;958;79361.790212126
0.08217637232256761;2021-09-16 11:13:09.000 UTC;224;200404;127297.875915325;206568.832507279;965;79270.956591954
0.08195099172105674;2021-09-18 23:07:15.000 UTC;225;203677;127899.426479643;206469.156667658;969;78569.730188015
0.08214543879646666;2021-09-21 11:49:32.000 UTC;226;210463;127797.946900995;206369.45004707598;980;78571.503146081
0.08225408732153727;2021-09-24 03:16:24.000 UTC;227;213719;127807.216688036;206269.710338083;980;78462.493650047
0.0820775340135759;2021-09-26 20:22:31.000 UTC;228;221661;127979.502845313;206169.941247291;982;78190.438401978
0.08260677360413181;2021-09-29 12:54:10.000 UTC;229;227340;127883.778646568;206070.13582034898;1001;78186.357173781
0.0825642418069006;2021-10-02 05:38:34.000 UTC;230;233548;128177.802732733;205970.30792794703;1008;77792.505195214
0.082443341339562;2021-10-04 23:43:38.000 UTC;231;237396;128464.764500537;205870.446467601;1018;77405.681967064
0.0827927152319104;2021-10-07 16:38:49.000 UTC;232;243885;128339.183622721;205770.561801412;1024;77431.378178691
0.08251614768398899;2021-10-10 03:19:50.000 UTC;233;290776;128400.758523797;205670.631694237;1030;77269.87317044
0.08244896034561683;2021-10-12 13:35:25.000 UTC;234;305925;128169.358539402;205570.666900643;1043;77401.308361241
0.08264253981391162;2021-10-14 21:31:00.000 UTC;235;322635;129125.65216037;205470.652462312;1048;76345.000301942
0.08265043962058845;2021-10-17 06:12:12.000 UTC;236;276504;129384.353183889;205370.602723827;1061;75986.249539938
0.08266697971421762;2021-10-19 14:43:37.000 UTC;237;277666;129527.403444919;205270.525270787;1067;75743.121825868
0.08183985221984864;2021-10-22 01:15:15.000 UTC;238;281059;129756.467951828;205170.42562001199;1076;75413.957668184
0.08212763396048084;2021-10-24 11:32:06.000 UTC;239;284924;129844.939627973;205070.30492683;1099;75225.365298857
0.08215909494052294;2021-10-26 21:40:56.000 UTC;240;287662;129872.403014188;204970.148757081;1101;75097.745742893
0.08187296193324661;2021-10-29 10:06:05.000 UTC;241;306803;129075.582776966;204869.964372358;1099;75794.381595392
0.08183763415817287;2021-10-31 21:46:34.000 UTC;242;311641;128927.74799331;204769.74153894698;1114;75841.993545637
0.08175983110055803;2021-11-03 10:35:37.000 UTC;243;298103;128801.296628077;204669.496699067;1119;75868.20007099
0.08157418380687709;2021-11-05 22:57:36.000 UTC;244;336164;129089.828269023;204569.214350506;1125;75479.386081483
0.08140470319530767;2021-11-08 10:53:34.000 UTC;245;359823;128864.708229258;204468.917488524;1134;75604.209259266
0.08158415272732421;2021-11-11 01:49:24.000 UTC;246;368779;128945.515518595;204368.592973558;1140;75423.077454963
0.08157788826528715;2021-11-13 17:28:21.000 UTC;247;308408;128841.274634115;204268.22107636;1166;75426.946442245
0.08152802120267003;2021-11-16 07:56:53.000 UTC;248;315238;128716.870963879;204167.80566271802;1169;75450.934698839
0.08152409717332276;2021-11-19 00:19:43.000 UTC;249;333082;128035.50884978;204067.374218826;1173;76031.865369046
0.08147995012846991;2021-11-21 13:59:46.000 UTC;250;334938;128501.034607482;203966.90542084898;1194;75465.870813367
0.07985582416899012;2021-11-24 05:56:28.000 UTC;251;338872;129297.473770282;203866.42824584298;1197;74568.954475561
0.07982652183280024;2021-11-27 00:10:10.000 UTC;252;341367;128693.296493799;203765.915052342;1200;75072.618558543
