program_id;day;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-02-14;5464270;4140276;27.32135;1.385129;28.706479;2001857561
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-02-14;3006466;1815534;15.03233;4.046968;19.079298;944584451
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-02-14;40143;31917;0.200715;0.620283;0.820998;4526370181
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;2026-02-14;56847;56847;0.284235;0.28423;0.568465;182702848
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-02-14;86572;70105;0.43286;0;0.43286;18421064351
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-02-14;55300;53264;0.2765;0;0.2765;4167044184
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;2026-02-14;14159;14159;0.070795;0.205025;0.27582;114489692
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-02-14;10426;10209;0.05213;0.148333;0.200463;296918270
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-02-14;2140;2046;0.0107;0.181132;0.191832;487648175
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-02-14;30448;30443;0.15224;0.019937;0.172177;2391766576
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-02-14;21032;15070;0.10516;0.003287;0.108447;3770833804
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-02-14;10062;9575;0.05031;0.05514;0.10545;692351342
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-02-14;7649;6677;0.038245;0.039897;0.078142;690305803
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-02-14;458;396;0.00229;0.074465;0.076755;81284140
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;2026-02-14;2165;2066;0.010825;0.060486;0.071311;224319479
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;2026-02-14;14079;14079;0.070395;0;0.070395;193727256
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-02-14;4097;2145;0.020485;0.044291;0.064776;232147449
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-02-14;598;595;0.00299;0.048266;0.051256;43331507
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2026-02-14;1343;1330;0.006715;0.040101;0.046816;170845736
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;2026-02-14;7136;7135;0.03568;0;0.03568;212269851
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2026-02-14;2687;2685;0.013435;0.019052;0.032487;367862605
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;2026-02-14;5608;5423;0.02804;1.4e-05;0.028054;895849073
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;2026-02-14;4130;4095;0.02065;0.006941;0.027591;146750620
MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;2026-02-14;3746;3110;0.01873;0.000268;0.018998;112230237
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;2026-02-14;2061;1917;0.010305;0.00752;0.017825;86785627
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2026-02-14;962;962;0.00481;0.011541;0.016351;87988272
99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;2026-02-14;1655;1471;0.008275;0.00798;0.016255;29301278
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;2026-02-14;1416;1332;0.00708;0.009117;0.016197;111786521
wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;2026-02-14;2794;2794;0.01397;0.001762;0.015732;204333578
