date;sol_price_usd;fdv_usd
2025-08-10;180.3864;
2025-08-11;182.909;
2025-08-12;175.0451;
2025-08-13;192.5941;
2025-08-14;201.8187;
2025-08-15;192.7568;
2025-08-16;185.5997;
2025-08-17;189.7694;
2025-08-18;191.641;
2025-08-19;183.013;
2025-08-20;176.4002;
2025-08-21;187.2669;
2025-08-22;180.243;
2025-08-23;200.2606;
2025-08-24;204.0193;
2025-08-25;205.8809;
2025-08-26;187.1853;
2025-08-27;195.9858;
2025-08-28;203.2934;
2025-08-29;214.5496;
2025-08-30;205.0834;
2025-08-31;202.7101;
2025-09-01;200.901;
2025-09-02;196.8838;
2025-09-03;209.2304;
2025-09-04;210.6788;
2025-09-05;202.6856;
2025-09-06;203.4791;
2025-09-07;200.1867;
2025-09-08;206.5185;
2025-09-09;214.0896;
2025-09-10;217.3852;
2025-09-11;223.9997;
2025-09-12;228.6995;
2025-09-13;242.2582;
2025-09-14;242.6676;
2025-09-15;240.5191;
2025-09-16;233.8358;
2025-09-17;237.0032;
2025-09-18;244.947;
2025-09-19;247.5563;
2025-09-20;238.3382;
2025-09-21;239.4634;
2025-09-22;236.6487;
2025-09-23;220.3369;
2025-09-24;214.1793;
2025-09-25;211.5961;
2025-09-26;192.1817;
2025-09-27;205.1199;
2025-09-28;203.5749;
2025-09-29;210.745;
2025-09-30;212.9296;
2025-10-01;208.6993;
2025-10-02;221.2189;
2025-10-03;234.6167;
2025-10-04;233.0646;
2025-10-05;227.9391;
2025-10-06;228.5443;
2025-10-07;232.5968;
2025-10-08;220.9233;
2025-10-09;229.0628;
2025-10-10;220.8065;
2025-10-11;189.8913;
2025-10-12;178.3062;
2025-10-13;197.04;
2025-10-14;207.9293;
2025-10-15;202.7783;
2025-10-16;193.9628;
2025-10-17;184.5741;
2025-10-18;182.0705;
2025-10-19;187.5587;
2025-10-20;187.621;
2025-10-21;189.8349;
2025-10-22;185.7899;
2025-10-23;180.0265;
2025-10-24;191.4242;
2025-10-25;193.4757;
2025-10-26;194.011;
2025-10-27;200.071;
2025-10-28;198.8113;
2025-10-29;194.4053;
2025-10-30;194.2206;
2025-10-31;184.2864;
2025-11-01;187.2627;
2025-11-02;186.3557;
2025-11-03;187.1963;
2025-11-04;165.9272;
2025-11-05;155.5134;
2025-11-06;162.6462;
2025-11-07;154.8489;
2025-11-08;161.8776;
2025-11-09;158.1562;
2025-11-10;164.2684;
2025-11-11;167.5484;
2025-11-12;154.3463;
2025-11-13;153.1952;
2025-11-14;145.1558;
2025-11-15;139.0028;
2025-11-16;139.5915;
2025-11-17;137.4976;
2025-11-18;130.6886;
2025-11-19;140.6016;
2025-11-20;136.4347;
2025-11-21;133.6034;
2025-11-22;128.484;
2025-11-23;127.6281;
2025-11-24;130.849;
2025-11-25;138.3677;
2025-11-26;139.0062;
2025-11-27;142.9225;
2025-11-28;140.8299;
2025-11-29;137.4683;
2025-11-30;136.0888;
2025-12-01;134.5772;
2025-12-02;126.7472;
2025-12-03;138.6838;
2025-12-04;145.0324;
2025-12-05;139.0036;
2025-12-06;133.1994;
2025-12-07;132.2133;
2025-12-08;131.6367;
2025-12-09;133.2877;
2025-12-10;138.0127;
2025-12-11;136.5125;
2025-12-12;136.4404;
2025-12-13;132.4674;
2025-12-14;133.2211;
2025-12-15;129.5766;
2025-12-16;127.7016;
2025-12-17;128.8096;
2025-12-18;123.0812;
2025-12-19;119.471;
2025-12-20;126.1879;
2025-12-21;125.7892;
2025-12-22;126.0187;
2025-12-23;125.7607;
2025-12-24;123.9193;
2025-12-25;122.5677;
2025-12-26;120.0901;
2025-12-27;122.1876;
2025-12-28;124.6385;
2025-12-29;125.1912;
2025-12-30;123.0993;
2025-12-31;124.8561;
2026-01-01;124.5164;
2026-01-02;126.7348;
2026-01-03;132.0484;
2026-01-04;133.2882;
2026-01-05;133.8604;
2026-01-06;138.1462;
2026-01-07;141.1023;
2026-01-08;136.2727;
2026-01-09;138.2946;
2026-01-10;135.8424;
2026-01-11;135.8017;
2026-01-12;139.4276;
2026-01-13;139.1103;
2026-01-14;145.0972;
2026-01-15;146.7085;
2026-01-16;142.273;
2026-01-17;144.8236;
2026-01-18;143.7092;
2026-01-19;138.5947;
2026-01-20;133.4336;
2026-01-21;125.8106;
2026-01-22;129.3379;
2026-01-23;128.224;
2026-01-24;127.249;
2026-01-25;127.0495;
2026-01-26;118.8905;
2026-01-27;124.2038;
2026-01-28;127.1523;
2026-01-29;125.0447;
2026-01-30;117.6175;
2026-01-31;117.3017;
2026-02-01;105.3546;
2026-02-02;100.8997;
2026-02-03;104.5178;
2026-02-04;97.6198;
2026-02-05;92.2922;
2026-02-06;78.5004;
2026-02-07;87.5758;
2026-02-08;87.6724;
2026-02-09;87.0494;
2026-02-10;86.8364;
2026-02-11;82.8594;
2026-02-12;79.269;
2026-02-13;78.2421;
2026-02-14;84.2578;
2026-02-15;88.1626;
2026-02-16;85.9433;
2026-02-17;86.4772;
2026-02-18;85.0841;
2026-02-19;81.5109;
2026-02-20;82.3295;
2026-02-21;84.4818;
2026-02-22;85.2291;
2026-02-23;82.6212;
2026-02-24;77.7424;
2026-02-25;79.1595;
2026-02-26;87.5495;
2026-02-27;85.9178;
2026-02-28;81.9748;
2026-03-01;84.4326;
2026-03-02;83.5989;
2026-03-03;86.6939;
2026-03-04;87.2133;
2026-03-05;91.0476;
2026-03-06;88.7569;
2026-03-07;84.6949;
2026-03-08;83.1789;
2026-03-09;81.6777;
2026-03-10;84.9756;
2026-03-10;86.2007;49172690834
