program_id;day;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-02-24;8562775;5096909;42.813875;2.955956;45.769831;2536716802
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-02-24;3429839;1949030;17.149195;17.790989;34.940184;1180920672
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-02-24;9031;8893;0.045155;1.271173;1.316328;258452119
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;2026-02-24;55923;55923;0.279615;0.93104;1.210655;502563134
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-02-24;58958;25094;0.29479;0.717532;1.012322;8865127586
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-02-24;198190;195637;0.99095;0;0.99095;22308206924
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-02-24;36006;28659;0.18003;0.787145;0.967175;4243280723
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-02-24;134686;102269;0.67343;4.9e-05;0.673479;33951654510
2qGyiNeWyZxNdkvWHc2jT5qkCnYa1j1gDLSSUmyoWMh8;2026-02-24;101354;101354;0.50677;0;0.50677;10824055293
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;2026-02-24;47490;47490;0.23745;0.23745;0.4749;153917102
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-02-24;2078;2034;0.01039;0.356446;0.366836;479263363
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;2026-02-24;1550;1392;0.00775;0.224657;0.232407;201831931
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-02-24;38804;38797;0.19402;0.023301;0.217321;2948746786
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-02-24;13794;13745;0.06897;0.093886;0.162856;1032957244
EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;2026-02-24;11639;8519;0.058195;0.10314;0.161335;49134665
6sbWW8qnrXoNXVMcTGLBQJefuaNcJsuqxztXUegHi4Wq;2026-02-24;13232;13203;0.06616;0.063555;0.129715;123936415
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-02-24;12479;11684;0.062395;0.043026;0.105421;1067314711
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-02-24;3413;2134;0.017065;0.054559;0.071624;197302747
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-02-24;786;764;0.00393;0.064218;0.068148;58961958
G77G9wS9JzkzWNGwQjUhRswbA5N8hYKpCK4TZRj9G1Pw;2026-02-24;4300;4300;0.0215;0.037745;0.059245;44505672
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;2026-02-24;280;234;0.0014;0.056318;0.057718;44677878
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc;2026-02-24;2712;2636;0.01356;0.03559;0.04915;101568714
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK;2026-02-24;997;908;0.004985;0.043742;0.048727;94891052
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;2026-02-24;3541;3537;0.017705;0.023551;0.041256;499505883
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;2026-02-24;8125;8121;0.040625;0;0.040625;252640052
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;2026-02-24;7741;7741;0.038705;0;0.038705;107923464
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;2026-02-24;2765;2672;0.013825;0.02246;0.036285;292034295
wMNFSTkir3HgyZTsB7uqu3i7FA73grFCptPXgrZjksL;2026-02-24;6694;6694;0.03347;0.000999;0.034469;266534922
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;2026-02-24;3388;1766;0.01694;0.008881;0.025821;90477651
99vQwtBwYtrqqD9YSXbdum3KBdxPAVxYTaQ3cfnJSrN2;2026-02-24;2731;2659;0.013655;0.010885;0.02454;64133301
Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB;2026-02-24;269;202;0.001345;0.019605;0.02095;27275664
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2026-02-24;1016;1016;0.00508;0.015537;0.020617;91373887
MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;2026-02-24;253;243;0.001265;0.01773;0.018995;83097108
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH;2026-02-24;3444;3272;0.01722;5e-05;0.01727;693678693
KvauGMspG5k6rtzrqqn7WNn3oZdyKqLKwK2XWQ8FLjd;2026-02-24;1597;1597;0.007985;0.003619;0.011604;376927877
zapvX9M3uf5pvy4wRPAbQgdQsM1xmuiFnkfHKPvwMiz;2026-02-24;1022;1022;0.00511;0.006084;0.011194;406967150
HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ;2026-02-24;2015;2015;0.010075;0;0.010075;377515596
So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo;2026-02-24;400;20;0.002;0.0056;0.0076;67906665
jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9;2026-02-24;1025;1018;0.005125;0.0018;0.006925;86073185
EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;2026-02-24;1050;1050;0.00525;2e-05;0.00527;3411412
MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;2026-02-24;522;522;0.00261;0.000314;0.002924;53114913
DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH;2026-02-24;220;189;0.0011;0.001435;0.002535;47203766
MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD;2026-02-24;306;304;0.00153;0.00019;0.00172;16729270
PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;2026-02-24;289;289;0.001445;0;0.001445;43827371
T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT;2026-02-24;28;13;0.00014;0.001087;0.001227;4081510
SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy;2026-02-24;197;197;0.000985;5e-06;0.00099;11694174
strmRqUCoQUgGUan5YhzUZa6KqdzwX5L6FpUxfmKg5m;2026-02-24;27;24;0.000135;3.5e-05;0.00017;1520275
HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq;2026-02-24;3;3;1.5e-05;0;1.5e-05;556038
SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF;2026-02-24;2;2;1e-05;0;1e-05;7012
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-02-25;10971399;6056534;54.856995;4.187615;59.04461;3019424507
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-02-25;2763977;1528337;13.819885;11.227299;25.047184;957145124
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-02-25;60030;50040;0.30015;1.028539;1.328689;6558563522
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-02-25;67985;29010;0.339925;0.932787;1.272712;10534983736
EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;2026-02-25;83958;51888;0.41979;0.826253;1.246043;113937539
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-02-25;6754;6396;0.03377;1.157522;1.191292;194474872
