epoch;active_stake_sol
150;137559467.8761065
151;125823447.3870099
152;155343987.98929894
153;168792636.2186471
154;203261328.42636225
155;215463873.52603158
156;236109087.0122696
157;245194966.4282176
158;242945710.1718415
159;249650353.99496338
160;242861525.18565735
161;245104350.08436728
162;245852264.76830178
163;247190103.93350157
164;244373222.19887653
165;241343434.93151635
166;243873830.76807156
167;244348861.4049698
168;244292815.46360812
169;244070993.31305274
170;252636355.3031788
171;254641245.33368343
172;257053622.79431
173;237102489.4971331
174;237233578.46281916
175;236791721.94268903
176;235414847.7819245
177;235501115.37322056
178;236193367.4335942
179;238205590.54176456
180;236711585.41053867
181;232189831.75233957
182;239740089.99247766
183;239126760.5802361
184;238834875.64934856
185;242833266.4354327
186;240256133.7409004
187;241373851.8075491
188;241666019.64030242
189;238352481.13524833
190;241950748.86254707
191;242564899.05653873
192;244237660.0657974
193;243902326.1972858
194;245105859.58929643
195;249149734.71100256
196;242372712.72165775
197;242696181.4416364
198;242485701.4439965
199;240471020.14761397
200;240581694.33216995
201;244019462.76675302
202;247192055.3617001
203;258018260.49779305
204;246523624.3346813
205;249179983.20395398
206;259599398.02701563
207;261804165.14182237
208;259089135.58540025
209;258265366.2236599
210;256938181.50778857
211;265474347.78882328
212;262566606.74674138
213;264216468.868648
214;265905375.72209677
215;265783248.62625912
216;266885843.8930518
217;272482325.00384194
218;263473831.64334336
219;263578233.63279885
220;263733102.14581636
221;262507472.80699196
222;255643600.3465351
223;253779540.37237197
224;257806693.9318656
225;259719217.8979278
226;260236764.9769877
227;262625677.4036028
228;264016302.48458827
229;263583245.90586
230;265396336.55401325
231;266103753.85712785
232;265784045.57509702
233;266462694.30118132
234;261558143.2298536
235;269417290.48097473
236;271163619.6076999
237;272488898.3840337
238;273368793.5324335
239;275297620.4588134
240;276493539.8421708
241;273065482.18823797
242;272306269.0372497
243;272711793.3467413
244;274045747.90660536
245;272977473.0969609
246;274249820.34019834
247;274088499.0356526
248;273479852.63433796
249;270995117.13995826
250;271633952.32070047
251;272911230.3097756
252;271857677.8490669
253;274444089.38964355
254;273408370.61745155
255;265708671.60090154
256;267848967.30548316
257;267661861.47989836
258;267346107.0235296
259;272852072.245169
260;272351141.8562482
261;272099844.8394295
262;271559164.5608378
263;271236137.8104527
264;273434702.6848245
265;273862500.03174615
266;273170343.5807619
267;273705655.4954676
268;274667800.65982014
269;272431674.2695581
270;273487049.0401692
271;275135782.6071569
272;273428832.64846873
273;270663476.14077574
274;267668508.45182067
275;268806189.7170242
276;267626200.9558445
277;267264208.71134564
278;268510932.17436755
279;268303836.20862243
280;269144894.3180827
281;268411055.04850203
282;269562507.18569547
283;270091025.9024956
284;271041179.4847887
285;271338403.31015617
286;264829812.72932243
287;267257018.73221126
288;266624598.5198023
289;266896184.74616915
290;267700989.52896807
291;270014170.6216945
292;267479876.6149361
293;271490136.8740669
294;272400414.4192138
295;272258176.220755
296;268544364.7073747
297;263069823.4080088
298;265365816.54863697
299;267507904.48371044
300;267640034.3504738
301;268469256.0998996
302;271522860.53498
303;269827341.7999631
304;270903899.35976774
305;271835053.70661676
306;271860104.7149994
307;269739450.4965731
308;268174774.1712406
309;268435364.26521832
310;260811321.5787917
311;262046471.56306684
312;262085110.78722453
313;256336579.22036043
314;261683364.69944605
315;261675879.46383908
316;260924690.87969702
317;262248166.880953
318;262364438.2840827
319;261293643.16103217
320;260680864.19885266
321;259353968.0650142
322;258302047.7304815
323;257312804.9840769
324;255771854.04565686
325;255988629.58903193
326;256784676.42502952
327;256879141.86859018
328;256703463.74497613
329;258573207.9616196
330;257920500.15845495
331;255489326.87353504
332;255959301.1604604
333;258506601.54769903
334;257923201.230454
335;259274899.1941541
336;262117026.32131395
337;263897204.1141588
338;262813245.4731205
339;254973429.1691792
340;263230821.6064249
341;264260976.94269338
342;263073822.54020107
343;266661249.5613924
344;266977313.38783777
345;266865220.07838172
346;267239269.8147484
347;267437683.19170958
348;269386624.43415475
349;269214686.17677224
350;265341463.76710457
351;267137497.8834066
352;263899634.30221522
353;266576298.3698911
354;265260905.91759926
355;267621033.36883038
356;266402907.43745047
357;266700347.66783017
358;266337534.56459686
359;265733367.46302342
360;268711553.3547214
361;268693052.31972045
362;269228492.1143115
363;268638591.53989446
364;268670702.49632484
365;269036288.8561078
366;268423721.74298248
367;268812718.2060248
368;269469774.93427
369;233778878.03557903
370;246684526.03664124
371;250029564.88448328
372;240586267.61606196
373;236987443.97601187
374;235276926.14393878
375;235182276.64090344
376;242206174.2711362
377;247243351.8118318
378;251853706.31611863
379;252814175.0079726
380;252127590.36875787
381;252264265.34513482
382;250581168.15100643
383;252017063.02657327
384;250654682.24193063
385;254806893.72378084
386;255943435.5482407
387;255507759.4319772
388;254610133.32942232
389;256129680.26424736
390;253271862.8002842
391;253980991.506039
392;254072396.57103705
393;251767044.29588547
394;250772730.71291295
395;248668341.2413999
396;252350638.15868455
397;252688091.95663878
398;252501237.55777144
399;252357803.56351885
400;252311769.61714
401;252642248.5247043
402;244472143.2599194
403;254041755.46373364
404;251641722.0044139
405;250652411.83654284
406;252739257.8682534
407;251785098.7579235
408;250842248.61620244
409;249453351.75256434
410;251394017.11158308
411;250329137.25355405
413;250497592.38636512
414;250768746.367274
415;253234369.91376364
416;254313114.0774807
417;255177953.0947385
418;254648824.12300283
419;256681060.50410944
420;257807732.98661885
421;259686722.68949905
422;261423029.96100065
423;262068938.85771522
424;264346690.2120128
425;264963590.64166653
426;266229735.4874742
427;266478084.14052212
428;265297458.26194778
429;267182163.7059831
430;268727286.4062446
431;266562307.4219201
432;268463167.4012
433;268597707.88829416
434;267500887.247803
435;264469437.7756146
436;264684525.0085831
437;264981385.95753062
438;264933918.85635358
439;267385110.81863743
440;267793999.61778992
441;267361796.19878116
442;265417269.83564106
443;265714442.0237235
444;265731537.42462197
445;266968493.64086518
446;264562382.62286073
447;265826835.28988367
448;263935187.93650988
449;263738769.11621517
450;263884547.58653516
451;264173978.9441579
452;264439457.66069722
453;264662903.09314892
454;264253361.82961828
455;264742267.0781114
456;264176773.88479146
457;264064137.43472815
458;264097957.4904091
459;264149629.0773652
460;264364768.04971027
461;265239164.61366645
462;265189687.80392572
463;264550603.9667137
464;265615298.91802508
465;265610419.23394957
466;266003827.3518455
467;265913603.78795904
468;265975274.5103416
469;266174236.6213593
470;266346939.7065912
471;265584789.01729813
472;264276112.82869384
473;266214986.86388138
474;266965243.05582407
475;264410750.8375104
476;264987495.19837216
477;264943636.0312243
478;264962635.5275025
479;266283650.89037025
480;266417338.6306759
481;266021793.72416225
482;264402909.33937263
483;265514901.52572927
484;266187736.50061283
485;266702015.276284
486;266974875.15112582
487;267290577.61826465
488;265851600.10689315
489;268367010.51152205
490;268440673.51941335
491;268317540.9706748
492;267654559.13063347
493;269166392.9620659
494;267734237.1378839
495;268969680.88592917
496;269217863.0717323
497;269169908.3653734
498;269133717.8223832
499;269121204.7842119
500;269341487.46082187
501;269975144.20855254
502;269858133.2653897
503;267764525.69846
504;269538825.5483227
505;268099649.24215695
506;270276269.50823486
507;270213839.662229
508;273208652.10971844
509;271837637.77588886
510;274196023.5334792
511;273861448.0567143
512;272878911.0983492
513;273509138.5516815
514;267103290.28523648
515;273665590.9664801
516;273808246.5880909
517;285293482.2942169
518;290868877.9078994
519;297837821.12672365
520;297049875.6202523
521;297836552.6134217
522;297651936.3004982
523;299512487.9321621
524;304955428.7311606
525;303352913.74965733
526;305664277.6875005
527;305462867.18220645
528;303699281.51898193
529;303668516.5529009
530;304277591.12015635
531;304060626.6966357
532;306409463.51059324
533;303255096.6123459
534;304185815.6546167
535;299704676.2163863
536;301059865.50902426
537;303072642.3208412
538;304902900.8983291
539;305622021.6726169
540;302355953.59608
541;300776347.2093477
542;300616647.6099288
543;299986024.77510566
544;300159525.2739643
545;301394546.50329846
546;300170855.9642613
547;302472145.15087736
548;300781214.7953407
549;300385809.14843696
550;303206779.2905907
551;293490668.41031736
552;293337942.0593661
553;293662263.20652705
554;292230741.9761579
555;292982307.4154737
556;288662158.8980584
557;284759568.3662058
558;285204497.9608851
559;289565653.9089562
560;286895398.3620178
561;288999038.74126846
562;291082860.5634337
563;292681481.0724601
564;289799140.37724876
565;287914533.1859211
566;285989870.6926963
567;295183711.9709355
568;288566841.4189382
569;289135704.0712905
570;291987909.0774048
571;291744676.52734417
572;291166673.6383811
573;287954438.87105745
574;287220060.8239017
575;287736855.31042856
576;287199949.0281195
577;287485370.2291136
578;287547124.903763
579;290421911.6592092
580;293364744.49262875
581;292560106.09002495
582;290817863.3042191
583;286074830.39282316
584;287364177.4965537
585;281244349.8362142
586;276993514.3051017
587;276351554.16948277
588;275719161.489913
589;278980996.2370007
590;277963155.6381617
591;274661845.39688075
592;271500652.16804045
593;276106817.98372793
594;277659999.0893147
595;278285293.93900526
596;274755875.14312226
597;264250942.40545097
598;273617259.9988245
