market_condition;program_id;tx_count;success_count;total_fees_sol;total_cu;avg_fee_per_cu_lamports;median_fee_per_cu_lamports;days_observed
elevated;Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB;1691;1427;0.0612;175761225;0.3003;0.3494;4
elevated;MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms;10833;9172;0.0546;352688894;0.0013;0.0014;4
elevated;G77G9wS9JzkzWNGwQjUhRswbA5N8hYKpCK4TZRj9G1Pw;3751;3751;0.0525;39781071;0.8471;0.8475;2
elevated;MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA;1542;1425;0.0524;365528459;0.1224;0.0652;4
elevated;KvauGMspG5k6rtzrqqn7WNn3oZdyKqLKwK2XWQ8FLjd;3157;3151;0.05;478509605;0.0716;0.0567;4
elevated;zapvX9M3uf5pvy4wRPAbQgdQsM1xmuiFnkfHKPvwMiz;4053;4045;0.0424;1641247815;0.0135;0.0132;4
elevated;T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT;94;51;0.0384;12950835;2.9263;0.4201;4
elevated;jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9;4831;4811;0.0242;441668335;0.0;0.0;4
elevated;SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy;2128;2109;0.0108;123258447;0.0017;0.0002;4
elevated;DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH;1000;885;0.0098;211440968;0.0228;0.022;4
elevated;PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu;1821;1805;0.0091;280130348;0.0;0.0;4
elevated;MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD;780;780;0.004;34043632;0.0015;0.0017;4
elevated;strmRqUCoQUgGUan5YhzUZa6KqdzwX5L6FpUxfmKg5m;220;212;0.0013;13333697;0.0165;0.0144;4
elevated;So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo;68;21;0.0006;5269570;0.0531;0.0;4
elevated;HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq;12;8;0.0004;2347404;0.1453;0.1199;3
normal;9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;183660603;119745052;983.9421;58794112037;1.1164;0.9794;23
normal;BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;78474924;45053949;714.3947;25449035368;12.6535;9.2537;23
normal;routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;988151;798992;31.6883;113623385518;0.2354;0.1807;23
normal;DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;730160;730160;14.6873;6065991996;1.8194;1.7925;23
normal;phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2924131;2028507;14.6216;621263357647;0.0;0.0;23
normal;JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;1341023;451128;13.9555;164610354331;0.044;0.0487;23
normal;675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;222700;218213;13.2421;6357997729;1.9076;1.4637;23
normal;KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;87304;83386;11.7474;7867943588;1.4376;0.5331;23
