program_id;day;tx_count;success_count;base_fees_sol;priority_fees_sol;total_fees_sol;total_cu
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;2026-02-19;6156479;4667636;30.782395;1.769736;32.552131;2277956927
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;2026-02-19;2990976;1849890;14.95488;11.302372;26.257252;974120816
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;2026-02-19;53686;45059;0.26843;0.797908;1.066338;6350407582
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4;2026-02-19;42956;15510;0.21478;0.37704;0.59182;6403149701
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;2026-02-19;54864;54864;0.27432;0.27432;0.54864;175457644
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;2026-02-19;91674;73779;0.45837;3e-06;0.458373;21298886632
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8;2026-02-19;8002;7838;0.04001;0.242236;0.282246;228645497
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;2026-02-19;47510;44893;0.23755;0;0.23755;4158756010
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo;2026-02-19;16964;16882;0.08482;0.108046;0.192866;1261454537
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;2026-02-19;32507;32502;0.162535;0.021962;0.184497;2550927488
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;2026-02-19;9278;9278;0.04639;0.13484;0.18123;75225656
6sbWW8qnrXoNXVMcTGLBQJefuaNcJsuqxztXUegHi4Wq;2026-02-19;18555;18485;0.092775;0.08843;0.181205;175776603
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;2026-02-19;1488;1481;0.00744;0.169787;0.177227;330016011
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;2026-02-19;5071;2709;0.025355;0.088092;0.113447;304174269
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;2026-02-19;10820;9866;0.0541;0.046014;0.100114;973474273
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;2026-02-19;963;950;0.004815;0.079355;0.08417;75030493
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;2026-02-19;2704;2207;0.01352;0.049107;0.062627;87956147
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;2026-02-19;9691;9691;0.048455;0;0.048455;132087164
G77G9wS9JzkzWNGwQjUhRswbA5N8hYKpCK4TZRj9G1Pw;2026-02-19;3557;3557;0.017785;0.030535;0.04832;35301930
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;2026-02-19;900;900;0.0045;0.034202;0.038702;82009306
