program_id;dune_label;program_name;raiku_category;raiku_product;pct_base;normal_base_lamports;priority_lamports;jito_tip_lamports;priority_plus_jito_lamports;total_lamports;jito_share_of_total;jito_share_of_priority_jito
4a2fybuHumGgi97uxaM58KrgiHtPqHWsZLZgovRxg8Cp;;;;;70.39;5591;0;2352;0;7943;29.61;100.0
tuna4uSQZncNeeiAMKbstuxA9CUkHH6HmC64wgmnogD;defituna;DefiTuna;lending;both;2.20;174;5632;2085;32;7923;26.32;27.02
GpCJTW1MvkvEyVVx5HPooFRwz7tp5SG7FReebpMxfJER;;;;;2.25;170;6649;725;0;7544;9.61;9.83
SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy;;Stake Pool Program;staking;aot;55.96;3649;904;752;1216;6521;11.53;45.41
5ifgd2hU3y8k1EhuEW2DZRTkFGHCZ3WHsQ1JHL5MCvxZ;;Unknown DeFi (5ifgd);defi;potential;0.09;6;0;6316;0;6322;99.91;100.0
EpjnUueXY3MmZZw2n8FobumsJpZN6kTUB8mREr2SKXRW;;;;;14.02;883;4471;943;0;6297;14.98;17.42
GekCNWDH4dMHZ8RWgN4w9KycNfb7AdM5cLe6w4E39Y46;;Unknown DeFi (GekCN);defi;potential;37.47;2079;0;3470;0;5549;62.53;100.0
Bf21oiCfZ9ErBPax1B9AeB23S9ajZjcUgECCsDeh6N1f;;;;;0;0;4813;492;0;5305;9.27;9.27
MevFXXGBgBMbr2c9G6GWE9Vo8qo8GCVed4jn1npP5tG;;MEV Bot (MevFXX);trading_bot;jit;91.59;4608;0;423;0;5031;8.41;100.0
CCTPmbSD7gX1bxKPAmg77w8oFzNFpaQiQUWD43TKaecd;;Circle CCTP;bridge;potential;13.88;658;4076;5;0;4739;0.11;0.12
AN225jmTP34SF2ttCuLTWG6XwasvjHp1LRzbZ1ztVmgy;;;;;37.30;1760;1689;1270;0;4719;26.91;42.92
95yfdYsWNr5C9adCCFogMQKSxRCr1ByQnvPazAYicvdC;;;;;0;0;0;4671;0;4671;100.0;100.0
FgwFgSsLMLpvGBUvXgkko86cJh6R8CWuv3RAQpDAiR8z;;;;;0;0;3409;444;0;3853;11.52;11.52
aaaab9xyNrdf7K1VXLGppSXzXK6UD3w3ng3Qiz2UadW;;;;;0;0;3153;148;0;3301;4.48;4.48
2cTqS8AiqcmCQc3VkEadQdGKgZvbNJVamNkEe4Hh9AmW;;;;;0;0;1979;1287;0;3266;39.41;39.41
2BKVtbJPi42KRjGQ6LmNApvHvXo89PW1iwnMgimhQeyP;;;;;39.73;1282;0;1945;0;3227;60.27;100.0
CUQUKjGUv2bsNTAR9Bh9tF7njVE1Q3bkGWbkmsH2mqKx;;;;;0.06;2;0;3140;0;3142;99.94;100.0
8yTntpZWSiB46T73tQ7V6uUuKQK8SdMXYPsz28nb2dnA;;;;;32.50;1013;0;2104;0;3117;67.5;100.0
RdEaqFdXKtvkRiLxELviWmx5Pb7Nsw4k7pVXRYWNmGD;;;;;61.68;1920;0;1193;0;3113;38.32;100.0
EXbMTNLdyeUpvbdpSmzFsfvJZbSisKVXgKr6NHWyFLs3;;;;;64.18;1887;0;1053;0;2940;35.82;100.0
Cmv6fTsiNdLkVR2zSge7B9oFGf7LS6F4zteA73331XW8;;;;;0;0;0;2812;0;2812;100.0;100.0
SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF;;SolFi V2;dex;aot;2.70;70;0;2523;0;2593;97.3;100.0
6ia4ftDBGF74eiuQY5YhWqK9A3ffdwqbQdaeLprqnMxm;;;;;41.97;1017;0;1406;0;2423;58.03;100.0
HYwWDaWXDFXb8kavs3cS5pAW1BrdEqUiCmajKXrSuAmn;;;;;1.41;34;0;2373;0;2407;98.59;100.0
4SWuTCPaVVdVCuJCcdkAzWxB7rngbGnCE6QiFbERopH8;;;;;48.90;1152;0;1204;0;2356;51.1;100.0
6jMi2CRpAA6uah3qzPpCR8SL8MsuAsB9MtCTKkufXkw2;;;;;25.58;585;42;1608;52;2287;70.31;97.45
wormDTUJ6AWPNvk59vGQbDvGJmqbDTdgWgAqcLBCgUb;wormhole;Wormhole Core;bridge;potential;34.42;768;1241;222;0;2231;9.95;15.17
Dpe4s2p9FfNPvCkQp58iwVVyAStC7JdRbSYSH1qvDFJY;;;;;0;0;0;2195;0;2195;100.0;100.0
FcZaM5sHBjG2rhosQSP8uUGJpWUucMBz7mnvjk8Chmzn;;;;;0;0;0;2178;0;2178;100.0;100.0
DWjukc21WN3jZX2SduhRS45tahoH5GCmw784cyTmbiT;;;;;13.32;287;0;1867;0;2154;86.68;100.0
onreuGhHHgVzMWSkj2oQDLDtvvGvoepBPkqyaubFcwe;;;;;12.18;235;60;1635;0;1930;84.72;96.46
B4cUJzpPVNKdnjnN7x7MhhXzJT5Z9SpteFp3JK3Y7bow;;;;;0;0;0;1771;0;1771;100.0;100.0
D2kzByMY3DcqMhoYNTYKhzU2oDMW5hfPiawgrqizV1sg;;;;;59.54;983;0;668;0;1651;40.46;100.0
8cRoD59SHLfJee9E2HV9VpneWaYwHFnTT2PPuYRHd2Jt;;;;;0;0;936;648;0;1584;40.91;40.91
7k2GqkxfcfTicAosECH2gxytXpG1xCXLMk4TEPCaukLy;;;;;5.99;78;0;1224;0;1302;94.01;100.0
H1CowKLj2dTkf7wQ7jtNH9djSADta1RAM3g3kKy2re2L;;;;;0;0;2;1272;0;1274;99.84;99.84
3RvG4ZaZPX4RvCAxVHjrNc3U8iN18kxc2PGuYcpjvCkd;;;;;0;0;843;424;0;1267;33.46;33.46
FRQTSSQMb9Gd2L2tVHzsgW75z3GWZvTMHrNoBbdVESXt;;;;;53.91;682;0;583;0;1265;46.09;100.0
7HR9iN2G7EGjKWgryHWahseUMwygKdVzKHm8LBaSbLoe;;;;;61.31;713;0;450;0;1163;38.69;100.0
